feature_name;method;feature_rank;dataset
property_type;CART;10.0;Airbnb_price
room_type;CART;1.0;Airbnb_price
amenities;CART;5.0;Airbnb_price
accommodates;CART;7.0;Airbnb_price
bathrooms;CART;3.5;Airbnb_price
bed_type;CART;15.5;Airbnb_price
cancellation_policy;CART;11.0;Airbnb_price
cleaning_fee;CART;12.5;Airbnb_price
city;CART;15.5;Airbnb_price
host_has_profile_pic;CART;18.0;Airbnb_price
host_identity_verified;CART;15.5;Airbnb_price
instant_bookable;CART;15.5;Airbnb_price
latitude;CART;3.5;Airbnb_price
longitude;CART;2.0;Airbnb_price
number_of_reviews;CART;6.0;Airbnb_price
review_scores_rating;CART;9.0;Airbnb_price
bedrooms;CART;8.0;Airbnb_price
beds;CART;12.5;Airbnb_price
