feature_name;method;feature_rank;dataset
EPA Fuel Economy Est - City (MPG);CART;10.5;cars
Engine;CART;26.5;cars
Drivetrain;CART;17.0;cars
Passenger Capacity;CART;21.0;cars
Passenger Doors;CART;26.5;cars
Wheelbase (in);CART;4.0;cars
SAE Net Torque @ RPM;CART;13.0;cars
Fuel System;CART;9.0;cars
SAE Net Horsepower @ RPM;CART;2.0;cars
Displacement;CART;7.0;cars
Trans Description Cont.;CART;21.0;cars
Trans Type;CART;26.5;cars
Air Bag-Side Head-Front;CART;26.5;cars
Air Bag-Side Head-Rear;CART;32.5;cars
Child Safety Rear Door Locks;CART;26.5;cars
Daytime Running Lights;CART;32.5;cars
Traction Control;CART;21.0;cars
Night Vision;CART;32.5;cars
Rollover Protection Bars;CART;26.5;cars
Basic Miles/km;CART;1.0;cars
Basic Years;CART;17.0;cars
Corrosion Miles/km;CART;32.5;cars
Corrosion Years;CART;17.0;cars
Drivetrain Miles/km;CART;17.0;cars
Drivetrain Years;CART;5.0;cars
Turning Diameter - Curb to Curb (ft);CART;10.5;cars
Front Wheel Material;CART;26.5;cars
Roadside Assistance Miles/km;CART;17.0;cars
Manufacturer;CART;6.0;cars
Model year;CART;3.0;cars
Category;CART;26.5;cars
Front tire width;CART;14.0;cars
Front tire aspect ratio;CART;12.0;cars
Front tire rim size;CART;8.0;cars
