feature_name;method;feature_rank;dataset
have_basement;Random_forest;13.0;USA_houseprices_2014
floors;Random_forest;12.0;USA_houseprices_2014
bedrooms;Random_forest;9.0;USA_houseprices_2014
waterfront;Random_forest;10.0;USA_houseprices_2014
condition;Random_forest;11.0;USA_houseprices_2014
view;Random_forest;8.0;USA_houseprices_2014
bathrooms;Random_forest;5.0;USA_houseprices_2014
sqft_basement;Random_forest;6.0;USA_houseprices_2014
year_since_1st_renovation;Random_forest;7.0;USA_houseprices_2014
sqft_lot;Random_forest;3.0;USA_houseprices_2014
city;Random_forest;4.0;USA_houseprices_2014
statezip;Random_forest;2.0;USA_houseprices_2014
sqft_living;Random_forest;1.0;USA_houseprices_2014
