CART;feature_name
2.0;zipcode
5.5;latitude
5.5;longitude
23.0;propertyTaxRate
15.5;garageSpaces
11.0;hasAssociation
23.0;hasGarage
23.0;hasSpa
23.0;hasView
23.0;homeType
23.0;parkingSpaces
5.5;yearBuilt
11.0;numPriceChanges
8.0;numOfAppliances
15.5;numOfParkingFeatures
15.5;numOfPatioAndPorchFeatures
23.0;numOfSecurityFeatures
23.0;numOfWindowFeatures
15.5;lotSizeSqFt
1.0;livingAreaSqFt
11.0;avgSchoolDistance
5.5;avgSchoolRating
9.0;avgSchoolSize
15.5;MedianStudentsPerTeacher
3.0;numOfBathrooms
15.5;numOfBedrooms
23.0;numOfStories
