feature_name;feature_rank;method;dataset
bedrooms;3.0;elastic_net;USA_houseprices_2014
bathrooms;9.0;elastic_net;USA_houseprices_2014
sqft_living;1.0;elastic_net;USA_houseprices_2014
sqft_lot;2.0;elastic_net;USA_houseprices_2014
floors;11.0;elastic_net;USA_houseprices_2014
waterfront;4.0;elastic_net;USA_houseprices_2014
view;5.0;elastic_net;USA_houseprices_2014
condition;7.0;elastic_net;USA_houseprices_2014
sqft_basement;6.0;elastic_net;USA_houseprices_2014
year_since_1st_renovation;12.0;elastic_net;USA_houseprices_2014
city;8.0;elastic_net;USA_houseprices_2014
statezip;10.0;elastic_net;USA_houseprices_2014
have_basement;13.0;elastic_net;USA_houseprices_2014
