feature_name;feature_rank;method;dataset
EPA Fuel Economy Est - City (MPG);27.0;elastic_net;cars
Engine;9.0;elastic_net;cars
Drivetrain;24.0;elastic_net;cars
Passenger Capacity;28.0;elastic_net;cars
Passenger Doors;20.0;elastic_net;cars
Wheelbase (in);5.0;elastic_net;cars
SAE Net Torque @ RPM;6.0;elastic_net;cars
Fuel System;18.0;elastic_net;cars
SAE Net Horsepower @ RPM;2.0;elastic_net;cars
Displacement;29.0;elastic_net;cars
Trans Description Cont.;21.0;elastic_net;cars
Trans Type;7.0;elastic_net;cars
Air Bag-Side Head-Front;30.0;elastic_net;cars
Air Bag-Side Head-Rear;25.0;elastic_net;cars
Child Safety Rear Door Locks;14.0;elastic_net;cars
Daytime Running Lights;26.0;elastic_net;cars
Traction Control;11.0;elastic_net;cars
Night Vision;31.0;elastic_net;cars
Rollover Protection Bars;15.0;elastic_net;cars
Basic Miles/km;1.0;elastic_net;cars
Basic Years;4.0;elastic_net;cars
Corrosion Miles/km;10.0;elastic_net;cars
Corrosion Years;22.0;elastic_net;cars
Drivetrain Miles/km;32.0;elastic_net;cars
Drivetrain Years;3.0;elastic_net;cars
Turning Diameter - Curb to Curb (ft);12.0;elastic_net;cars
Front Wheel Material;23.0;elastic_net;cars
Roadside Assistance Miles/km;33.0;elastic_net;cars
Manufacturer;16.0;elastic_net;cars
Model year;13.0;elastic_net;cars
Category;19.0;elastic_net;cars
Front tire width;17.0;elastic_net;cars
Front tire aspect ratio;8.0;elastic_net;cars
Front tire rim size;34.0;elastic_net;cars
