feature_name;feature_rank;method;dataset
bedrooms;3.0;elastic_net;USA_houseprices_2014
bathrooms;9.0;elastic_net;USA_houseprices_2014
sqft_living;1.0;elastic_net;USA_houseprices_2014
sqft_lot;2.0;elastic_net;USA_houseprices_2014
floors;11.0;elastic_net;USA_houseprices_2014
waterfront;4.0;elastic_net;USA_houseprices_2014
view;5.0;elastic_net;USA_houseprices_2014
condition;7.0;elastic_net;USA_houseprices_2014
sqft_basement;6.0;elastic_net;USA_houseprices_2014
year_since_1st_renovation;12.0;elastic_net;USA_houseprices_2014
city;8.0;elastic_net;USA_houseprices_2014
statezip;10.0;elastic_net;USA_houseprices_2014
have_basement;13.0;elastic_net;USA_houseprices_2014
zipcode;9.0;elastic_net;austin_housing
latitude;13.0;elastic_net;austin_housing
longitude;8.0;elastic_net;austin_housing
propertyTaxRate;7.0;elastic_net;austin_housing
garageSpaces;26.0;elastic_net;austin_housing
hasAssociation;2.0;elastic_net;austin_housing
hasGarage;20.0;elastic_net;austin_housing
hasSpa;18.0;elastic_net;austin_housing
hasView;21.0;elastic_net;austin_housing
homeType;22.0;elastic_net;austin_housing
parkingSpaces;27.0;elastic_net;austin_housing
yearBuilt;11.0;elastic_net;austin_housing
numPriceChanges;10.0;elastic_net;austin_housing
numOfAppliances;25.0;elastic_net;austin_housing
numOfParkingFeatures;15.0;elastic_net;austin_housing
numOfPatioAndPorchFeatures;16.0;elastic_net;austin_housing
numOfSecurityFeatures;24.0;elastic_net;austin_housing
numOfWindowFeatures;23.0;elastic_net;austin_housing
lotSizeSqFt;12.0;elastic_net;austin_housing
livingAreaSqFt;1.0;elastic_net;austin_housing
avgSchoolDistance;19.0;elastic_net;austin_housing
avgSchoolRating;5.0;elastic_net;austin_housing
avgSchoolSize;14.0;elastic_net;austin_housing
MedianStudentsPerTeacher;17.0;elastic_net;austin_housing
numOfBathrooms;3.0;elastic_net;austin_housing
numOfBedrooms;6.0;elastic_net;austin_housing
numOfStories;4.0;elastic_net;austin_housing
property_type;11.0;elastic_net;Airbnb_price
room_type;1.0;elastic_net;Airbnb_price
amenities;13.0;elastic_net;Airbnb_price
accommodates;4.0;elastic_net;Airbnb_price
bathrooms;3.0;elastic_net;Airbnb_price
bed_type;14.0;elastic_net;Airbnb_price
cancellation_policy;15.0;elastic_net;Airbnb_price
cleaning_fee;16.0;elastic_net;Airbnb_price
city;5.0;elastic_net;Airbnb_price
host_has_profile_pic;17.0;elastic_net;Airbnb_price
host_identity_verified;18.0;elastic_net;Airbnb_price
instant_bookable;8.0;elastic_net;Airbnb_price
latitude;6.0;elastic_net;Airbnb_price
longitude;9.0;elastic_net;Airbnb_price
number_of_reviews;12.0;elastic_net;Airbnb_price
review_scores_rating;10.0;elastic_net;Airbnb_price
bedrooms;2.0;elastic_net;Airbnb_price
beds;7.0;elastic_net;Airbnb_price
EPA Fuel Economy Est - City (MPG);27.0;elastic_net;cars
Engine;9.0;elastic_net;cars
Drivetrain;24.0;elastic_net;cars
Passenger Capacity;28.0;elastic_net;cars
Passenger Doors;20.0;elastic_net;cars
Wheelbase (in);5.0;elastic_net;cars
SAE Net Torque @ RPM;6.0;elastic_net;cars
Fuel System;18.0;elastic_net;cars
SAE Net Horsepower @ RPM;2.0;elastic_net;cars
Displacement;29.0;elastic_net;cars
Trans Description Cont.;21.0;elastic_net;cars
Trans Type;7.0;elastic_net;cars
Air Bag-Side Head-Front;30.0;elastic_net;cars
Air Bag-Side Head-Rear;25.0;elastic_net;cars
Child Safety Rear Door Locks;14.0;elastic_net;cars
Daytime Running Lights;26.0;elastic_net;cars
Traction Control;11.0;elastic_net;cars
Night Vision;31.0;elastic_net;cars
Rollover Protection Bars;15.0;elastic_net;cars
Basic Miles/km;1.0;elastic_net;cars
Basic Years;4.0;elastic_net;cars
Corrosion Miles/km;10.0;elastic_net;cars
Corrosion Years;22.0;elastic_net;cars
Drivetrain Miles/km;32.0;elastic_net;cars
Drivetrain Years;3.0;elastic_net;cars
Turning Diameter - Curb to Curb (ft);12.0;elastic_net;cars
Front Wheel Material;23.0;elastic_net;cars
Roadside Assistance Miles/km;33.0;elastic_net;cars
Manufacturer;16.0;elastic_net;cars
Model year;13.0;elastic_net;cars
Category;19.0;elastic_net;cars
Front tire width;17.0;elastic_net;cars
Front tire aspect ratio;8.0;elastic_net;cars
Front tire rim size;34.0;elastic_net;cars
season;6.0;elastic_net;Bike_sharing
yr;5.0;elastic_net;Bike_sharing
mnth;12.0;elastic_net;Bike_sharing
hr;1.0;elastic_net;Bike_sharing
holiday;9.0;elastic_net;Bike_sharing
weekday;10.0;elastic_net;Bike_sharing
workingday;11.0;elastic_net;Bike_sharing
weathersit;8.0;elastic_net;Bike_sharing
temp;3.0;elastic_net;Bike_sharing
atemp;4.0;elastic_net;Bike_sharing
hum;2.0;elastic_net;Bike_sharing
windspeed;7.0;elastic_net;Bike_sharing
