feature_name;feature_rank;method;dataset
zipcode;9.0;elastic_net;austin_housing
latitude;13.0;elastic_net;austin_housing
longitude;8.0;elastic_net;austin_housing
propertyTaxRate;7.0;elastic_net;austin_housing
garageSpaces;26.0;elastic_net;austin_housing
hasAssociation;2.0;elastic_net;austin_housing
hasGarage;20.0;elastic_net;austin_housing
hasSpa;18.0;elastic_net;austin_housing
hasView;21.0;elastic_net;austin_housing
homeType;22.0;elastic_net;austin_housing
parkingSpaces;27.0;elastic_net;austin_housing
yearBuilt;11.0;elastic_net;austin_housing
numPriceChanges;10.0;elastic_net;austin_housing
numOfAppliances;25.0;elastic_net;austin_housing
numOfParkingFeatures;15.0;elastic_net;austin_housing
numOfPatioAndPorchFeatures;16.0;elastic_net;austin_housing
numOfSecurityFeatures;24.0;elastic_net;austin_housing
numOfWindowFeatures;23.0;elastic_net;austin_housing
lotSizeSqFt;12.0;elastic_net;austin_housing
livingAreaSqFt;1.0;elastic_net;austin_housing
avgSchoolDistance;19.0;elastic_net;austin_housing
avgSchoolRating;5.0;elastic_net;austin_housing
avgSchoolSize;14.0;elastic_net;austin_housing
MedianStudentsPerTeacher;17.0;elastic_net;austin_housing
numOfBathrooms;3.0;elastic_net;austin_housing
numOfBedrooms;6.0;elastic_net;austin_housing
numOfStories;4.0;elastic_net;austin_housing
