feature_name;method;feature_rank;dataset
property_type;CART;10.0;Airbnb_price
room_type;CART;1.0;Airbnb_price
amenities;CART;5.0;Airbnb_price
accommodates;CART;7.0;Airbnb_price
bathrooms;CART;3.5;Airbnb_price
bed_type;CART;16.0;Airbnb_price
cancellation_policy;CART;11.5;Airbnb_price
cleaning_fee;CART;13.5;Airbnb_price
city;CART;16.0;Airbnb_price
host_has_profile_pic;CART;18.0;Airbnb_price
host_identity_verified;CART;16.0;Airbnb_price
instant_bookable;CART;13.5;Airbnb_price
latitude;CART;3.5;Airbnb_price
longitude;CART;2.0;Airbnb_price
number_of_reviews;CART;6.0;Airbnb_price
review_scores_rating;CART;9.0;Airbnb_price
bedrooms;CART;8.0;Airbnb_price
beds;CART;11.5;Airbnb_price
zipcode;CART;2.0;austin_housing
latitude;CART;4.0;austin_housing
longitude;CART;7.0;austin_housing
propertyTaxRate;CART;23.5;austin_housing
garageSpaces;CART;23.5;austin_housing
hasAssociation;CART;11.0;austin_housing
hasGarage;CART;23.5;austin_housing
hasSpa;CART;16.0;austin_housing
hasView;CART;23.5;austin_housing
homeType;CART;16.0;austin_housing
parkingSpaces;CART;23.5;austin_housing
yearBuilt;CART;7.0;austin_housing
numPriceChanges;CART;11.0;austin_housing
numOfAppliances;CART;7.0;austin_housing
numOfParkingFeatures;CART;16.0;austin_housing
numOfPatioAndPorchFeatures;CART;16.0;austin_housing
numOfSecurityFeatures;CART;23.5;austin_housing
numOfWindowFeatures;CART;23.5;austin_housing
lotSizeSqFt;CART;16.0;austin_housing
livingAreaSqFt;CART;1.0;austin_housing
avgSchoolDistance;CART;11.0;austin_housing
avgSchoolRating;CART;5.0;austin_housing
avgSchoolSize;CART;9.0;austin_housing
MedianStudentsPerTeacher;CART;16.0;austin_housing
numOfBathrooms;CART;3.0;austin_housing
numOfBedrooms;CART;16.0;austin_housing
numOfStories;CART;23.5;austin_housing
season;CART;6.0;Bike_sharing
yr;CART;3.0;Bike_sharing
mnth;CART;8.5;Bike_sharing
hr;CART;1.0;Bike_sharing
holiday;CART;12.0;Bike_sharing
weekday;CART;8.5;Bike_sharing
workingday;CART;4.0;Bike_sharing
weathersit;CART;8.5;Bike_sharing
temp;CART;2.0;Bike_sharing
atemp;CART;8.5;Bike_sharing
hum;CART;5.0;Bike_sharing
windspeed;CART;11.0;Bike_sharing
EPA Fuel Economy Est - City (MPG);CART;10.5;cars
Engine;CART;26.5;cars
Drivetrain;CART;17.0;cars
Passenger Capacity;CART;21.0;cars
Passenger Doors;CART;26.5;cars
Wheelbase (in);CART;4.0;cars
SAE Net Torque @ RPM;CART;13.0;cars
Fuel System;CART;9.0;cars
SAE Net Horsepower @ RPM;CART;2.0;cars
Displacement;CART;7.0;cars
Trans Description Cont.;CART;21.0;cars
Trans Type;CART;26.5;cars
Air Bag-Side Head-Front;CART;26.5;cars
Air Bag-Side Head-Rear;CART;32.5;cars
Child Safety Rear Door Locks;CART;26.5;cars
Daytime Running Lights;CART;32.5;cars
Traction Control;CART;21.0;cars
Night Vision;CART;32.5;cars
Rollover Protection Bars;CART;26.5;cars
Basic Miles/km;CART;1.0;cars
Basic Years;CART;17.0;cars
Corrosion Miles/km;CART;32.5;cars
Corrosion Years;CART;17.0;cars
Drivetrain Miles/km;CART;17.0;cars
Drivetrain Years;CART;5.0;cars
Turning Diameter - Curb to Curb (ft);CART;10.5;cars
Front Wheel Material;CART;26.5;cars
Roadside Assistance Miles/km;CART;17.0;cars
Manufacturer;CART;6.0;cars
Model year;CART;3.0;cars
Category;CART;26.5;cars
Front tire width;CART;14.0;cars
Front tire aspect ratio;CART;12.0;cars
Front tire rim size;CART;8.0;cars
bedrooms;CART;10.5;USA_houseprices_2014
bathrooms;CART;7.5;USA_houseprices_2014
sqft_living;CART;1.0;USA_houseprices_2014
sqft_lot;CART;4.0;USA_houseprices_2014
floors;CART;7.5;USA_houseprices_2014
waterfront;CART;10.5;USA_houseprices_2014
view;CART;5.5;USA_houseprices_2014
condition;CART;12.0;USA_houseprices_2014
sqft_basement;CART;9.0;USA_houseprices_2014
year_since_1st_renovation;CART;5.5;USA_houseprices_2014
city;CART;3.0;USA_houseprices_2014
statezip;CART;2.0;USA_houseprices_2014
have_basement;CART;13.0;USA_houseprices_2014
