feature_name;method;feature_rank;dataset
country;Random_forest;17.0;USA_houseprices_2014
have_basement;Random_forest;17.0;USA_houseprices_2014
floors;Random_forest;16.0;USA_houseprices_2014
bedrooms;Random_forest;13.0;USA_houseprices_2014
waterfront;Random_forest;13.0;USA_houseprices_2014
condition;Random_forest;13.0;USA_houseprices_2014
yr_renovated;Random_forest;12.0;USA_houseprices_2014
view;Random_forest;11.0;USA_houseprices_2014
last_modification;Random_forest;10.0;USA_houseprices_2014
bathrooms;Random_forest;7.0;USA_houseprices_2014
sqft_above;Random_forest;7.0;USA_houseprices_2014
sqft_basement;Random_forest;7.0;USA_houseprices_2014
yr_built;Random_forest;6.0;USA_houseprices_2014
city;Random_forest;5.0;USA_houseprices_2014
statezip;Random_forest;4.0;USA_houseprices_2014
sqft_lot;Random_forest;3.0;USA_houseprices_2014
street;Random_forest;2.0;USA_houseprices_2014
sqft_living;Random_forest;1.0;USA_houseprices_2014
