feature_name;method;feature_rank;dataset
host_has_profile_pic;Random_forest;18.0;Airbnb_price
bed_type;Random_forest;17.0;Airbnb_price
cleaning_fee;Random_forest;12.0;Airbnb_price
city;Random_forest;12.0;Airbnb_price
host_identity_verified;Random_forest;12.0;Airbnb_price
instant_bookable;Random_forest;12.0;Airbnb_price
beds;Random_forest;12.0;Airbnb_price
cancellation_policy;Random_forest;11.0;Airbnb_price
property_type;Random_forest;10.0;Airbnb_price
review_scores_rating;Random_forest;9.0;Airbnb_price
bedrooms;Random_forest;8.0;Airbnb_price
accommodates;Random_forest;7.0;Airbnb_price
number_of_reviews;Random_forest;6.0;Airbnb_price
amenities;Random_forest;5.0;Airbnb_price
latitude;Random_forest;4.0;Airbnb_price
bathrooms;Random_forest;3.0;Airbnb_price
longitude;Random_forest;2.0;Airbnb_price
room_type;Random_forest;1.0;Airbnb_price
