,bedrooms,year_since_1st_renovation,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,last_modification,have_basement
0,3.0,105,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,1522,36,62,0,2005,false
1,5.0,21,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,3899,35,58,0,1921,true
2,3.0,66,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,2291,18,26,0,1966,false
3,3.0,63,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,4263,3,7,0,1963,true
4,4.0,92,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,4352,31,31,0,1992,true
5,2.0,94,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,3521,35,54,0,1994,false
6,2.0,76,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2286,31,31,0,1976,false
7,4.0,89,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,2038,21,23,0,1989,false
8,3.0,85,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,3369,27,27,0,1985,true
9,4.0,110,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,3846,35,54,0,2010,false
10,3.0,94,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,4510,20,67,0,1994,false
11,4.0,88,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3025,35,48,0,1988,true
12,3.0,80,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1473,33,42,0,1980,true
13,3.0,109,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2176,35,49,0,2009,false
14,5.0,69,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,2905,35,48,0,1969,false
15,3.0,65,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,808,18,26,0,1965,false
16,3.0,56,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,1060,3,6,0,1956,false
17,4.0,97,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,276,1,45,0,1997,false
18,3.0,100,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1147,10,73,0,2000,false
19,3.0,109,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,528,27,27,0,2009,false
20,3.0,23,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,2722,35,54,0,1923,true
21,4.0,79,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3053,3,5,0,1979,false
22,3.0,105,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,2654,35,46,0,2005,true
23,4.0,91,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,71,5,9,0,1991,false
24,4.0,89,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,1687,35,60,0,1989,true
25,3.0,87,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,2419,14,2,0,1987,true
26,3.0,48,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,4233,35,63,0,1948,true
27,4.0,20,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,106,19,21,0,1920,true
