,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,year_since_1st_renovation,city,statezip,price
0,3.0,1.5,1340,7912,1.5,0,0,3,0,105,36,62,313000.0
1,5.0,2.5,3650,9050,2.0,0,4,5,280,21,35,58,2384000.0
2,3.0,2.0,1930,11947,1.0,0,0,4,0,66,18,26,342000.0
3,3.0,2.25,2000,8030,1.0,0,0,4,1000,63,3,7,420000.0
4,4.0,2.5,1940,10500,1.0,0,0,4,800,92,31,31,550000.0
5,2.0,1.0,880,6380,1.0,0,0,3,0,94,35,54,490000.0
6,2.0,2.0,1350,2560,1.0,0,0,3,0,76,31,31,335000.0
7,4.0,2.5,2710,35868,2.0,0,0,3,0,89,21,23,482000.0
8,3.0,2.5,2430,88426,1.0,0,0,4,860,85,27,27,452500.0
9,4.0,2.0,1520,6200,1.5,0,0,3,0,110,35,54,640000.0
10,3.0,1.75,1710,7320,1.0,0,0,3,0,94,20,67,463000.0
11,4.0,2.5,2920,4000,1.5,0,0,5,1010,88,35,48,1400000.0
12,3.0,1.75,2330,14892,1.0,0,0,3,360,80,33,42,588500.0
13,3.0,1.0,1090,6435,1.0,0,0,4,0,109,35,49,365000.0
14,5.0,2.75,2910,9480,1.5,0,0,3,0,69,35,48,1200000.0
15,3.0,1.5,1200,9720,1.0,0,0,4,0,65,18,26,242500.0
16,3.0,1.5,1570,6700,1.0,0,0,4,0,56,3,6,419000.0
17,4.0,3.0,3110,7231,2.0,0,0,3,0,97,1,45,367500.0
18,3.0,1.75,1370,5858,1.0,0,0,3,0,100,10,73,257950.0
19,3.0,1.5,1180,10277,1.0,0,0,3,0,109,27,27,275000.0
20,3.0,1.75,2240,10578,2.0,0,0,5,690,23,35,54,750000.0
21,4.0,1.0,1450,8800,1.0,0,0,4,0,79,3,5,435000.0
22,3.0,2.25,1750,1572,2.5,0,0,3,280,105,35,46,626000.0
23,4.0,2.5,2730,12261,2.0,0,0,3,0,91,5,9,612500.0
24,4.0,1.75,1600,6380,1.0,0,0,3,470,89,35,60,495000.0
