,price,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,last_modification,have_basement
0,313000.0,2014-05-02 00:00:00,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,1522,36,62,0,2005,1
1,2384000.0,2014-05-02 00:00:00,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,3899,35,58,0,1921,1
2,342000.0,2014-05-02 00:00:00,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,2291,18,26,0,1966,1
3,420000.0,2014-05-02 00:00:00,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,4263,3,7,0,1963,1
4,550000.0,2014-05-02 00:00:00,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,4352,31,31,0,1992,1
5,490000.0,2014-05-02 00:00:00,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,3521,35,54,0,1994,1
6,335000.0,2014-05-02 00:00:00,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2286,31,31,0,1976,1
7,482000.0,2014-05-02 00:00:00,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,2038,21,23,0,1989,1
8,452500.0,2014-05-02 00:00:00,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,3369,27,27,0,1985,1
9,640000.0,2014-05-02 00:00:00,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,3846,35,54,0,2010,1
10,463000.0,2014-05-02 00:00:00,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,4510,20,67,0,1994,1
11,1400000.0,2014-05-02 00:00:00,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3025,35,48,0,1988,1
12,588500.0,2014-05-02 00:00:00,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,1473,33,42,0,1980,1
13,365000.0,2014-05-02 00:00:00,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2176,35,49,0,2009,1
14,1200000.0,2014-05-02 00:00:00,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,2905,35,48,0,1969,1
15,242500.0,2014-05-02 00:00:00,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,808,18,26,0,1965,1
16,419000.0,2014-05-02 00:00:00,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,1060,3,6,0,1956,1
17,367500.0,2014-05-02 00:00:00,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,276,1,45,0,1997,1
18,257950.0,2014-05-02 00:00:00,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,1147,10,73,0,2000,1
19,275000.0,2014-05-02 00:00:00,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,528,27,27,0,2009,1
20,750000.0,2014-05-02 00:00:00,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,2722,35,54,0,1923,1
21,435000.0,2014-05-02 00:00:00,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,3053,3,5,0,1979,1
22,626000.0,2014-05-02 00:00:00,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,2654,35,46,0,2005,1
23,612500.0,2014-05-02 00:00:00,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,71,5,9,0,1991,1
24,495000.0,2014-05-02 00:00:00,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,1687,35,60,0,1989,1
25,285000.0,2014-05-02 00:00:00,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,2419,14,2,0,1987,1
26,615000.0,2014-05-02 00:00:00,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,4233,35,63,0,1948,1
27,698000.0,2014-05-02 00:00:00,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,106,19,21,0,1920,1
28,675000.0,2014-05-02 00:00:00,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,2021,16,17,0,2014,1
29,790000.0,2014-05-02 00:00:00,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,2793,35,56,0,1999,1
30,382500.0,2014-05-02 00:00:00,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,820,19,22,0,1967,1
31,499950.0,2014-05-02 00:00:00,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,1673,42,41,0,2003,1
32,650000.0,2014-05-02 00:00:00,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,3921,35,54,0,2010,1
33,625000.0,2014-05-02 00:00:00,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,1295,36,67,0,2014,1
34,400000.0,2014-05-02 00:00:00,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,3507,1,45,0,2014,1
35,604000.0,2014-05-02 00:00:00,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,2619,14,13,0,1995,1
36,440000.0,2014-05-02 00:00:00,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,3402,35,50,0,1944,1
37,287200.0,2014-05-02 00:00:00,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,1954,21,23,0,1992,1
38,403000.0,2014-05-02 00:00:00,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,1399,26,68,0,1957,1
39,750000.0,2014-05-02 00:00:00,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,2936,35,55,0,2009,1
40,335000.0,2014-05-02 00:00:00,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,3291,13,14,0,2000,1
41,260000.0,2014-05-02 00:00:00,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,1684,32,33,0,1974,1
42,308500.0,2014-05-02 00:00:00,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,440,36,67,0,1983,1
43,439950.0,2014-05-02 00:00:00,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,3290,35,55,0,2009,1
44,235000.0,2014-05-02 00:00:00,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,4020,35,49,0,1949,1
45,315000.0,2014-05-02 00:00:00,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,1101,42,44,0,1997,1
